Алюминиевый порошок;31.10
Антрацит;34.80
Белок растительный;23.45
Брикеты бурого угля;20.20
Брикеты яичного порошка;18.80
Бумага;17.60
Бумага разрыхленная;13.40
Бумага фотографическая;13.27
Буроугольная пыль;25.00
Бурый уголь молодой;8.4
Бурый уголь старый;18.60
Войлок строительный;18.88
Волокно ацетатное;18.77
Волокно вискозное;15.60
Волокно капрон;30.72
Волокно лавсан;22.58
Волокно нитрон;30.75
Волокно энант;32.10
Дерматин;21.54
Древесина в изделиях;13.80
ДСП;13.80
Древесина в штабелях;16.60
Древесина дубовая;19.90
Древесина еловая;20.32
Древесина зеленая;6.3
Древесина сосновая;20.85
Древесина как условное топливо;16.45
Жиры животные;40.00
Зерно;16.80
Кальций;15.50
Каменный уголь;31.25
Картон;16.50
Каучук синтетический;40.20
Каучук натуральный;44.80
Книги на стеллажах;13.40
Клепка буковая для паркета;17.40
Кожаные обрезки;19.90
Кокс газовый;26.90
Кокс доменный;30.35
Крахмал;16.80
Линкруст хлорвиниловый;17.10
Линолеум;21.00
Линолуем резиновый (релин);27.21
Магний;25.20
Материал (текстиль);18.84
Мука;16.80
Натрий;10.88
Оргстекло;25.10
Парафин твердый;11.20
Пенополистирол ПСБ-С;41.63
Пенополиуретан;24.30
Пенопласт ПХВ-1;19.51
Пенопласт ФС-7;24.43
Пенопласт ФФ;31.40
Плита древесноволокнистая;20.90
Плитка полистирольная;41.87
Полиэтилен;46.62
Резина;14.10
Резинотехнические изделия;33.50
Рубероид;29.50
Сахар;16.80
Сено;16.70
Сера;9.21
Смола искусственная;16.80
Солома;17.00
Стекло органическое;27.72
Твердое животное масло;38.20
Толь;15.95
Торф воздушно-сухой;16.33
Торф волокнистый сухой;21.80
Торф фрезерный;10.45
Торф-кокс;29.40
Триацетат;19.10
Углерод;33.30
Уголь бурый;25.00
Уголь древесный;33.90
Уголь коксующийся;36.30
Фосфор;25.20
Хлопок;17.50
Хлопок разрыхленный;15.70
Целлофан;17.37
Целлюлоза;16.40
Целлулоид;20.50
Шевелин;17.61
Шерсть;23.10
Шерстяные волокна;23.14
Шелк;21.00
Ячмень;17.37
Асфальт;39.90
Бензин;43.70
Бензин легкий;44.50
Бензин средний;43.10
Бензол;40.30
Бензол моторный из дегтя каменноугольного;40.45
Деготь;38.00
Деготь каменноугольный;39.70
Керосин;43.10
Ксилол;41.12
Мазут;42.84
Масло газовое;42.90
Масло льняное;39.52
Масло из дегтя;40.74
Масло креозоловое;37.80
Масло рапсовое;39.90
Масло солярное;42.00
Нафталин;38.90
Нефть;43.05
Нефть метановая;21.48
Сероуглерод;13.80
Смола буроугольная;38.94
Спирт;24.74
Спирт 90%-й;22.70
Спирт амиловый;34.82
Спирт метиловый;19.95
Спирт пропиловый;30.65
Спирт этиловый;26.80
Толуол;40.66
Топливо дизельное жидкое;41.90
Топливо жидкое;41.53
Фенол;32.24
Ацетилен;56.19
Ацетон;74.10
Бензол;140.13
Бутан;120.83
Водород;11.14
Газ воздушный;4.77
Газ из сточных вод;20.93
Газ каменноугольный;23.03
Газ коксовый;20.43
Газ природный;36.63
Газ городской светильный;18.84
Гексан;171.00
Гептан;183.00
Диэтиловый эфир;112.00
Изобутан;124.00
Изобутилен;113.50
Коксовый водяной газ;11.30
Крекинг-газ;73.27
Н.пентан;146.33
Н.бутан;118.65
Метан;35.80
Пропан;98.68
Пропилен;86.63
Толуол;166.63
Этан;64.31
Этилен;59.41
